RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
UniProtKB:Q9BYV6	TRIM55	Tripartite motif-containing protein 55
UniProtKB:P78423	CX3CL1	Fractalkine
UniProtKB:P01911	HLA-DRB1	HLA class II histocompatibility antigen, DRB1 beta chain
UniProtKB:Q8WV44	TRIM41	E3 ubiquitin-protein ligase TRIM41
UniProtKB:Q99731	CCL19	C-C motif chemokine 19
UniProtKB:Q8WV28	BLNK	B-cell linker protein
UniProtKB:Q8WUQ7	CACTIN	Splicing factor Cactin
UniProtKB:Q99706	KIR2DL4	Killer cell immunoglobulin-like receptor 2DL4
UniProtKB:B6A8C7	TARM1	T-cell-interacting, activating receptor on myeloid cells protein 1
UniProtKB:Q8WWY7	WFDC12	WAP four-disulfide core domain protein 12
UniProtKB:Q9Y6K9	IKBKG	NF-kappa-B essential modulator
UniProtKB:Q63HN8	RNF213	E3 ubiquitin-protein ligase RNF213
UniProtKB:Q15485	FCN2	Ficolin-2
UniProtKB:Q9Y6M5	SLC30A1	Proton-coupled zinc antiporter SLC30A1
UniProtKB:P26718	KLRK1	NKG2-D type II integral membrane protein
UniProtKB:P26717	KLRC2	NKG2-C type II integral membrane protein
UniProtKB:P06241	FYN	Tyrosine-protein kinase Fyn
UniProtKB:P06239	LCK	Tyrosine-protein kinase Lck
UniProtKB:P21741	MDK	Midkine
UniProtKB:Q8WXC3	PYDC1	Pyrin domain-containing protein 1
UniProtKB:Q8WUD1	RAB2B	Ras-related protein Rab-2B
UniProtKB:O00584	RNASET2	Ribonuclease T2
UniProtKB:P36980	CFHR2	Complement factor H-related protein 2
UniProtKB:O00574	CXCR6	C-X-C chemokine receptor type 6
UniProtKB:O00571	DDX3X	ATP-dependent RNA helicase DDX3X
UniProtKB:P33176	KIF5B	Kinesin-1 heavy chain
UniProtKB:Q92993	KAT5	Histone acetyltransferase KAT5
UniProtKB:Q53F19	NCBP3	Nuclear cap-binding protein subunit 3
UniProtKB:Q6UXN2	TREML4	Trem-like transcript 4 protein
UniProtKB:Q92985	IRF7	Interferon regulatory factor 7
UniProtKB:Q92982	NINJ1	Ninjurin-1
UniProtKB:Q92974	ARHGEF2	Rho guanine nucleotide exchange factor 2
UniProtKB:P48304	REG1B	Lithostathine-1-beta
UniProtKB:Q6UXL0	IL20RB	Interleukin-20 receptor subunit beta
UniProtKB:P16444	DPEP1	Dipeptidase 1
UniProtKB:Q99698	LYST	Lysosomal-trafficking regulator
UniProtKB:O00159	MYO1C	Unconventional myosin-Ic
UniProtKB:Q56P42	PYDC2	Pyrin domain-containing protein 2
UniProtKB:Q96GF1	RNF185	E3 ubiquitin-protein ligase RNF185
UniProtKB:Q13882	PTK6	Protein-tyrosine kinase 6
UniProtKB:Q9HC29	NOD2	Nucleotide-binding oligomerization domain-containing protein 2
UniProtKB:P16050	ALOX15	Polyunsaturated fatty acid lipoxygenase ALOX15
UniProtKB:Q9HC16	APOBEC3G	DNA dC->dU-editing enzyme APOBEC-3G
UniProtKB:P04637	TP53	Cellular tumor antigen p53
UniProtKB:Q9HBL7	PLGRKT	Plasminogen receptor (KT)
UniProtKB:Q9H0R5	GBP3	Guanylate-binding protein 3
UniProtKB:Q86W26	NLRP10	NACHT, LRR and PYD domains-containing protein 10
UniProtKB:P01730	CD4	T-cell surface glycoprotein CD4
UniProtKB:Q9HBE4	IL21	Interleukin-21
UniProtKB:Q03591	CFHR1	Complement factor H-related protein 1
UniProtKB:D3W0D1	KLRF2	Killer cell lectin-like receptor subfamily F member 2
UniProtKB:P13164	IFITM1	Interferon-induced transmembrane protein 1
UniProtKB:Q8IVB4	SLC9A9	Sodium/hydrogen exchanger 9
UniProtKB:P68371	TUBB4B	Tubulin beta-4B chain
UniProtKB:Q86VE9	SERINC5	Serine incorporator 5
UniProtKB:Q6UVW9	CLEC2A	C-type lectin domain family 2 member A
UniProtKB:Q15233	NONO	Non-POU domain-containing octamer-binding protein
UniProtKB:P21964	COMT	Catechol O-methyltransferase
UniProtKB:Q86YC3	NRROS	Transforming growth factor beta activator LRRC33
UniProtKB:P0CI26	TRIM49C	Tripartite motif-containing protein 49C
UniProtKB:P0CI25	TRIM49	Tripartite motif-containing protein 49
UniProtKB:Q6UW15	REG3G	Regenerating islet-derived protein 3-gamma
UniProtKB:O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
UniProtKB:F8VTS6	RFPL4AL1	Ret finger protein-like 4A-like protein 1
UniProtKB:Q8IY34	SLC15A3	Solute carrier family 15 member 3
UniProtKB:P51692	STAT5B	Signal transducer and activator of transcription 5B
UniProtKB:Q8IY26	PLPP6	Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6
UniProtKB:Q8IY21	DDX60	Probable ATP-dependent RNA helicase DDX60
UniProtKB:O75882	ATRN	Attractin
UniProtKB:P51684	CCR6	C-C chemokine receptor type 6
UniProtKB:P51681	CCR5	C-C chemokine receptor type 5
UniProtKB:P04839	CYBB	Cytochrome b-245 heavy chain
UniProtKB:P80188	LCN2	Neutrophil gelatinase-associated lipocalin
UniProtKB:P51679	CCR4	C-C chemokine receptor type 4
UniProtKB:P51677	CCR3	C-C chemokine receptor type 3
UniProtKB:P51671	CCL11	Eotaxin
UniProtKB:Q8TDQ0	HAVCR2	Hepatitis A virus cellular receptor 2
UniProtKB:Q8IXJ6	SIRT2	NAD-dependent protein deacetylase sirtuin-2
UniProtKB:P31151	S100A7	Protein S100-A7
UniProtKB:P51617	IRAK1	Interleukin-1 receptor-associated kinase 1
UniProtKB:P63000	RAC1	Ras-related C3 botulinum toxin substrate 1
UniProtKB:P08254	MMP3	Stromelysin-1
UniProtKB:P63261	ACTG1	Actin, cytoplasmic 2
UniProtKB:Q8IZN7	DEFB107A	Beta-defensin 107
UniProtKB:Q8WTT0	CLEC4C	C-type lectin domain family 4 member C
UniProtKB:Q15858	SCN9A	Sodium channel protein type 9 subunit alpha
UniProtKB:P43405	SYK	Tyrosine-protein kinase SYK
UniProtKB:Q8WTQ1	DEFB104A	Beta-defensin 104
UniProtKB:Q676U5	ATG16L1	Autophagy-related protein 16-1
UniProtKB:Q8IZJ0	IFNL2	Interferon lambda-2
UniProtKB:Q9Y6Y9	LY96	Lymphocyte antigen 96
UniProtKB:Q8IZI9	IFNL3	Interferon lambda-3
UniProtKB:P51809	VAMP7	Vesicle-associated membrane protein 7
UniProtKB:Q9Y6Z7	COLEC10	Collectin-10
UniProtKB:Q8IZE3	SCYL3	Protein-associating with the carboxyl-terminal domain of ezrin
UniProtKB:Q15399	TLR1	Toll-like receptor 1
UniProtKB:P01374	LTA	Lymphotoxin-alpha
UniProtKB:P01375	TNF	Tumor necrosis factor
UniProtKB:Q03989	ARID5A	AT-rich interactive domain-containing protein 5A
UniProtKB:Q9Y6K5	OAS3	2'-5'-oligoadenylate synthase 3
UniProtKB:Q15366	PCBP2	Poly(rC)-binding protein 2
UniProtKB:P41597	CCR2	C-C chemokine receptor type 2
UniProtKB:Q6UX82	LYPD8	Ly6/PLAUR domain-containing protein 8
UniProtKB:Q15326	ZMYND11	Zinc finger MYND domain-containing protein 11
UniProtKB:P31146	CORO1A	Coronin-1A
UniProtKB:P51608	MECP2	Methyl-CpG-binding protein 2
UniProtKB:Q8TDL5	BPIFB1	BPI fold-containing family B member 1
UniProtKB:P01563	IFNA2	Interferon alpha-2
UniProtKB:P01566	IFNA10	Interferon alpha-10
UniProtKB:P01568	IFNA21	Interferon alpha-21
UniProtKB:P01569	IFNA5	Interferon alpha-5
UniProtKB:P01571	IFNA17	Interferon alpha-17
UniProtKB:P01574	IFNB1	Interferon beta
UniProtKB:P26441	CNTF	Ciliary neurotrophic factor
UniProtKB:A1L4H1	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
UniProtKB:Q8TDE3	RNASE8	Ribonuclease 8
UniProtKB:Q15139	PRKD1	Serine/threonine-protein kinase D1
UniProtKB:P28799	GRN	Progranulin
UniProtKB:Q6NXR0	IRGC	Interferon-inducible GTPase 5
UniProtKB:Q15109	AGER	Advanced glycosylation end product-specific receptor
UniProtKB:Q8IWZ4	TRIM48	E3 ubiquitin-protein ligase TRIM48
UniProtKB:Q8IWZ3	ANKHD1	Ankyrin repeat and KH domain-containing protein 1
UniProtKB:Q8IWY4	SCUBE1	Signal peptide, CUB and EGF-like domain-containing protein 1
UniProtKB:P48061	CXCL12	Stromal cell-derived factor 1
UniProtKB:O00238	BMPR1B	Bone morphogenetic protein receptor type-1B
UniProtKB:Q8IWU4	SLC30A8	Proton-coupled zinc antiporter SLC30A8
UniProtKB:P48023	FASLG	Tumor necrosis factor ligand superfamily member 6
UniProtKB:O00214	LGALS8	Galectin-8
UniProtKB:P16150	SPN	Leukosialin
UniProtKB:O00203	AP3B1	AP-3 complex subunit beta-1
UniProtKB:Q92667	AKAP1	A-kinase anchor protein 1, mitochondrial
UniProtKB:Q8IWR1	TRIM59	Tripartite motif-containing protein 59
UniProtKB:Q8TCV5	WFDC5	WAP four-disulfide core domain protein 5
UniProtKB:Q86VD1	MORC1	MORC family CW-type zinc finger protein 1
UniProtKB:P61626	LYZ	Lysozyme C
UniProtKB:Q03518	TAP1	Antigen peptide transporter 1
UniProtKB:P41145	OPRK1	Kappa-type opioid receptor
UniProtKB:Q86VB7	CD163	Scavenger receptor cysteine-rich type 1 protein M130
UniProtKB:Q8IUX4	APOBEC3F	DNA dC->dU-editing enzyme APOBEC-3F
UniProtKB:Q92499	DDX1	ATP-dependent RNA helicase DDX1
UniProtKB:Q13794	PMAIP1	Phorbol-12-myristate-13-acetate-induced protein 1
UniProtKB:Q92485	SMPDL3B	Acid sphingomyelinase-like phosphodiesterase 3b
UniProtKB:Q9HB29	IL1RL2	Interleukin-1 receptor-like 2
UniProtKB:Q8TAX9	GSDMB	Gasdermin-B
UniProtKB:Q8TAX7	MUC7	Mucin-7
UniProtKB:P36406	TRIM23	E3 ubiquitin-protein ligase TRIM23
UniProtKB:Q8IV20	LACC1	Purine nucleoside phosphorylase LACC1
UniProtKB:Q6IPT2	GARIN5A	Golgi-associated RAB2 interactor protein 5A
UniProtKB:Q9BZZ2	SIGLEC1	Sialoadhesin
UniProtKB:Q8IV08	PLD3	5'-3' exonuclease PLD3
UniProtKB:Q9BZY9	TRIM31	E3 ubiquitin-protein ligase TRIM31
UniProtKB:Q8IUN9	CLEC10A	C-type lectin domain family 10 member A
UniProtKB:P78556	CCL20	C-C motif chemokine 20
UniProtKB:Q86UU9	TAC4	Tachykinin-4
UniProtKB:P78545	ELF3	ETS-related transcription factor Elf-3
UniProtKB:Q86UT6	NLRX1	NLR family member X1
UniProtKB:P78540	ARG2	Arginase-2, mitochondrial
UniProtKB:P78536	ADAM17	Disintegrin and metalloproteinase domain-containing protein 17
UniProtKB:Q9HAI6	TASL	TLR adapter interacting with SLC15A4 on the lysosome
UniProtKB:P58062	SPINK7	Serine protease inhibitor Kazal-type 7
UniProtKB:P78527	PRKDC	DNA-dependent protein kinase catalytic subunit
UniProtKB:Q9H1C4	UNC93B1	Protein unc-93 homolog B1
UniProtKB:Q9BZR9	TRIM8	E3 ubiquitin-protein ligase TRIM8
UniProtKB:P08575	PTPRC	Receptor-type tyrosine-protein phosphatase C
RNAcentral:URS000026261D_9606	URS000026261D_9606	Homo sapiens (human) hsa-miR-140-5p
UniProtKB:Q14019	COTL1	Coactosin-like protein
UniProtKB:Q9BQ95	ECSIT	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial
UniProtKB:A0A0B4J1U4	TRGV5	T cell receptor gamma variable 5
UniProtKB:O15353	FOXN1	Forkhead box protein N1
RNAcentral:URS00002C0FCB_9606	URS00002C0FCB_9606	Homo sapiens (human) hsa-miR-130b-3p
RNAcentral:URS0000316FA5_9606	URS0000316FA5_9606	Homo sapiens (human) hsa-miR-26b-5p
RNAcentral:URS000018C928_9606	URS000018C928_9606	Homo sapiens (human) hsa-miR-181c-5p
UniProtKB:Q04118	PRB3	Basic salivary proline-rich protein 3
UniProtKB:O60602	TLR5	Toll-like receptor 5
UniProtKB:O60603	TLR2	Toll-like receptor 2
UniProtKB:K9M1U5	IFNL4	Interferon lambda-4
UniProtKB:Q15306	IRF4	Interferon regulatory factor 4
UniProtKB:Q96F46	IL17RA	Interleukin-17 receptor A
UniProtKB:Q5H9U9	DDX60L	Probable ATP-dependent RNA helicase DDX60-like
UniProtKB:P40200	CD96	T-cell surface protein tactile
UniProtKB:P35542	SAA4	Serum amyloid A-4 protein
UniProtKB:Q12899	TRIM26	Tripartite motif-containing protein 26
UniProtKB:O14933	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6
UniProtKB:Q12891	HYAL2	Hyaluronidase-2
UniProtKB:O14931	NCR3	Natural cytotoxicity triggering receptor 3
UniProtKB:O14920	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta
UniProtKB:Q12851	MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2
UniProtKB:Q12846	STX4	Syntaxin-4
UniProtKB:P50461	CSRP3	Cysteine and glycine-rich protein 3
UniProtKB:P46734	MAP2K3	Dual specificity mitogen-activated protein kinase kinase 3
UniProtKB:P02747	C1QC	Complement C1q subcomponent subunit C
UniProtKB:A6NLU0	RFPL4A	Ret finger protein-like 4A
UniProtKB:P02776	PF4	Platelet factor 4
UniProtKB:P02787	TF	Serotransferrin
UniProtKB:P02788	LTF	Lactotransferrin
UniProtKB:Q02556	IRF8	Interferon regulatory factor 8
UniProtKB:Q9UQL6	HDAC5	Histone deacetylase 5
UniProtKB:Q9H1D9	POLR3F	DNA-directed RNA polymerase III subunit RPC6
UniProtKB:A6NLJ0	C2CD4B	C2 calcium-dependent domain-containing protein 4B
UniProtKB:A6NLI5	TRIM64C	Tripartite motif-containing protein 64C
UniProtKB:P40145	ADCY8	Adenylate cyclase type 8
UniProtKB:P60602	ROMO1	Reactive oxygen species modulator 1
UniProtKB:O14879	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3
UniProtKB:O14862	AIM2	Interferon-inducible protein AIM2
UniProtKB:P16070	CD44	CD44 antigen
UniProtKB:O14843	FFAR3	Free fatty acid receptor 3
UniProtKB:Q12794	HYAL1	Hyaluronidase-1
UniProtKB:Q9NPD3	EXOSC4	Exosome complex component RRP41
UniProtKB:P05164	MPO	Myeloperoxidase
UniProtKB:P05161	ISG15	Ubiquitin-like protein ISG15
UniProtKB:P05156	CFI	Complement factor I
UniProtKB:P05155	SERPING1	Plasma protease C1 inhibitor
UniProtKB:O60667	FCMR	Immunoglobulin mu Fc receptor
UniProtKB:O60674	JAK2	Tyrosine-protein kinase JAK2
UniProtKB:Q9NPH5	NOX4	NADPH oxidase 4
UniProtKB:Q9H4G1	CST9L	Cystatin-9-like
UniProtKB:P05113	IL5	Interleukin-5
UniProtKB:P05112	IL4	Interleukin-4
UniProtKB:P05109	S100A8	Protein S100-A8
UniProtKB:P05107	ITGB2	Integrin beta-2
UniProtKB:Q9UMR7	CLEC4A	C-type lectin domain family 4 member A
UniProtKB:Q9NPP4	NLRC4	NLR family CARD domain-containing protein 4
UniProtKB:P20036	HLA-DPA1	HLA class II histocompatibility antigen, DP alpha 1 chain
UniProtKB:P20023	CR2	Complement receptor type 2
UniProtKB:P03979	TRGV3	T cell receptor gamma variable 3
UniProtKB:P03973	SLPI	Antileukoproteinase
UniProtKB:Q9UMW8	USP18	Ubl carboxyl-terminal hydrolase 18
UniProtKB:P03952	KLKB1	Plasma kallikrein
UniProtKB:P03950	ANG	Angiogenin
UniProtKB:P05067	APP	Amyloid-beta precursor protein
UniProtKB:P30273	FCER1G	High affinity immunoglobulin epsilon receptor subunit gamma
UniProtKB:O60706	ABCC9	ATP-binding cassette sub-family C member 9
UniProtKB:P05089	ARG1	Arginase-1
UniProtKB:Q9C000	NLRP1	NACHT, LRR and PYD domains-containing protein 1
UniProtKB:P30203	CD6	T-cell differentiation antigen CD6
UniProtKB:Q14289	PTK2B	Protein-tyrosine kinase 2-beta
UniProtKB:Q9C019	TRIM15	E3 ubiquitin-protein ligase TRIM15
UniProtKB:Q9C029	TRIM7	E3 ubiquitin-protein ligase TRIM7
UniProtKB:Q9C035	TRIM5	Tripartite motif-containing protein 5
UniProtKB:O43164	PJA2	E3 ubiquitin-protein ligase Praja-2
UniProtKB:P23771	GATA3	Trans-acting T-cell-specific transcription factor GATA-3
UniProtKB:O14544	SOCS6	Suppressor of cytokine signaling 6
UniProtKB:P04264	KRT1	Keratin, type II cytoskeletal 1
UniProtKB:Q9NX58	LYAR	Cell growth-regulating nucleolar protein
UniProtKB:O14514	ADGRB1	Adhesion G protein-coupled receptor B1
UniProtKB:P50052	AGTR2	Type-2 angiotensin II receptor
UniProtKB:Q96S55	WRNIP1	ATPase WRNIP1
UniProtKB:P46934	NEDD4	E3 ubiquitin-protein ligase NEDD4
UniProtKB:Q86VP1	TAX1BP1	Tax1-binding protein 1
UniProtKB:A6NI73	LILRA5	Leukocyte immunoglobulin-like receptor subfamily A member 5
UniProtKB:P13498	CYBA	Cytochrome b-245 light chain
UniProtKB:Q13291	SLAMF1	Signaling lymphocytic activation molecule
UniProtKB:P08779	KRT16	Keratin, type I cytoskeletal 16
UniProtKB:Q8N957	ANKFN1	Ankyrin repeat and fibronectin type-III domain-containing protein 1
UniProtKB:A6NI03	TRIM64B	Putative tripartite motif-containing protein 64B
UniProtKB:Q92503	SEC14L1	SEC14-like protein 1
UniProtKB:P60201	PLP1	Myelin proteolipid protein
UniProtKB:Q9P2K8	EIF2AK4	eIF-2-alpha kinase GCN2
UniProtKB:Q9BUZ4	TRAF4	TNF receptor-associated factor 4
UniProtKB:Q9NY15	STAB1	Stabilin-1
UniProtKB:Q9NY25	CLEC5A	C-type lectin domain family 5 member A
UniProtKB:P35030	PRSS3	Trypsin-3
UniProtKB:Q00978	IRF9	Interferon regulatory factor 9
UniProtKB:Q13342	SP140	Nuclear body protein SP140
UniProtKB:Q9BVG3	TRIM62	E3 ubiquitin-protein ligase TRIM62
UniProtKB:Q9BXB1	LGR4	Leucine-rich repeat-containing G-protein coupled receptor 4
UniProtKB:Q9NZV6	MSRB1	Methionine-R-sulfoxide reductase B1
UniProtKB:Q13568	IRF5	Interferon regulatory factor 5
UniProtKB:Q13571	LAPTM5	Lysosomal-associated transmembrane protein 5
UniProtKB:P78563	ADARB1	Double-stranded RNA-specific editase 1
UniProtKB:Q8N690	DEFB119	Beta-defensin 119
UniProtKB:Q9BXN2	CLEC7A	C-type lectin domain family 7 member A
UniProtKB:Q8N687	DEFB125	Beta-defensin 125
UniProtKB:P08476	INHBA	Inhibin beta A chain
UniProtKB:P41182	BCL6	B-cell lymphoma 6 protein
UniProtKB:Q9P032	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
UniProtKB:P55265	ADAR	Double-stranded RNA-specific adenosine deaminase
UniProtKB:P55259	GP2	Pancreatic secretory granule membrane major glycoprotein GP2
UniProtKB:Q8N5M9	JAGN1	Protein jagunal homolog 1
UniProtKB:P55210	CASP7	Caspase-7
UniProtKB:Q8N5C8	TAB3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
UniProtKB:P51451	BLK	Tyrosine-protein kinase Blk
UniProtKB:Q00653	NFKB2	Nuclear factor NF-kappa-B p100 subunit
UniProtKB:P18627	LAG3	Lymphocyte activation gene 3 protein
UniProtKB:O14802	POLR3A	DNA-directed RNA polymerase III subunit RPC1
UniProtKB:Q969E1	LEAP2	Liver-expressed antimicrobial peptide 2
UniProtKB:Q969D9	TSLP	Thymic stromal lymphopoietin
UniProtKB:P57088	TMEM33	Transmembrane protein 33
UniProtKB:P57053	H2BC12L	Histone H2B type F-S
UniProtKB:P13747	HLA-E	HLA class I histocompatibility antigen, alpha chain E
UniProtKB:P25116	F2R	Proteinase-activated receptor 1
UniProtKB:P13727	PRG2	Bone marrow proteoglycan
UniProtKB:P13726	F3	Tissue factor
UniProtKB:Q9BS40	LXN	Latexin
UniProtKB:P25105	PTAFR	Platelet-activating factor receptor
UniProtKB:P25103	TACR1	Substance-P receptor
UniProtKB:P55895	RAG2	V(D)J recombination-activating protein 2
UniProtKB:Q09161	NCBP1	Nuclear cap-binding protein subunit 1
UniProtKB:O15528	CYP27B1	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial
UniProtKB:P04003	C4BPA	C4b-binding protein alpha chain
UniProtKB:O14796	SH2D1B	SH2 domain-containing protein 1B
UniProtKB:O14791	APOL1	Apolipoprotein L1
UniProtKB:P61073	CXCR4	C-X-C chemokine receptor type 4
UniProtKB:P35367	HRH1	Histamine H1 receptor
UniProtKB:O14763	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B
UniProtKB:P04054	PLA2G1B	Phospholipase A2
UniProtKB:O14730	RIOK3	Serine/threonine-protein kinase RIO3
UniProtKB:P35326	SPRR2A	Small proline-rich protein 2A
UniProtKB:P04083	ANXA1	Annexin A1
UniProtKB:P35318	ADM	Pro-adrenomedullin
UniProtKB:Q96PP8	GBP5	Guanylate-binding protein 5
UniProtKB:Q96PP9	GBP4	Guanylate-binding protein 4
UniProtKB:Q07954	LRP1	Prolow-density lipoprotein receptor-related protein 1
UniProtKB:P16333	NCK1	SH2/SH3 adapter protein NCK1
UniProtKB:Q13387	MAPK8IP2	C-Jun-amino-terminal kinase-interacting protein 2
UniProtKB:Q6B0I6	KDM4D	Lysine-specific demethylase 4D
UniProtKB:P13385	CRIPTO	Protein Cripto
UniProtKB:Q8N884	CGAS	Cyclic GMP-AMP synthase
UniProtKB:P08697	SERPINF2	Alpha-2-antiplasmin
UniProtKB:P08670	VIM	Vimentin
UniProtKB:Q9P1Q0	VPS54	Vacuolar protein sorting-associated protein 54
UniProtKB:P60153	RNASE9	Inactive ribonuclease-like protein 9
UniProtKB:P08637	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A
UniProtKB:P08631	HCK	Tyrosine-protein kinase HCK
UniProtKB:A6NGJ6	TRIM64	Tripartite motif-containing protein 64
UniProtKB:Q6PIZ9	TRAT1	T-cell receptor-associated transmembrane adapter 1
UniProtKB:P08603	CFH	Complement factor H
UniProtKB:Q7Z7L1	SLFN11	Schlafen family member 11
UniProtKB:P23510	TNFSF4	Tumor necrosis factor ligand superfamily member 4
UniProtKB:Q8N7C3	TRIML2	Probable E3 ubiquitin-protein ligase TRIML2
UniProtKB:Q4G0F5	VPS26B	Vacuolar protein sorting-associated protein 26B
UniProtKB:A0A3B3IT33	TRIM51G	Putative tripartite motif-containing protein 51G
UniProtKB:Q13488	TCIRG1	V-type proton ATPase 116 kDa subunit a 3
UniProtKB:Q7Z7B8	DEFB128	Beta-defensin 128
UniProtKB:Q7Z7A4	PXK	PX domain-containing protein kinase-like protein
UniProtKB:P01889	HLA-B	HLA class I histocompatibility antigen, B alpha chain
UniProtKB:Q9P0W0	IFNK	Interferon kappa
UniProtKB:P01877	IGHA2	Immunoglobulin heavy constant alpha 2
UniProtKB:P01861	IGHG4	Immunoglobulin heavy constant gamma 4
UniProtKB:P01860	IGHG3	Immunoglobulin heavy constant gamma 3
UniProtKB:P01859	IGHG2	Immunoglobulin heavy constant gamma 2
UniProtKB:P01854	IGHE	Immunoglobulin heavy constant epsilon
UniProtKB:P13236	CCL4	C-C motif chemokine 4
UniProtKB:P08571	CD14	Monocyte differentiation antigen CD14
UniProtKB:O00206	TLR4	Toll-like receptor 4
UniProtKB:P14778	IL1R1	Interleukin-1 receptor type 1
UniProtKB:Q14258	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25
UniProtKB:Q9UNK0	STX8	Syntaxin-8
UniProtKB:Q9UNK4	PLA2G2D	Group IID secretory phospholipase A2
UniProtKB:Q460N5	PARP14	Protein mono-ADP-ribosyltransferase PARP14
UniProtKB:P05026	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1
UniProtKB:P05015	IFNA16	Interferon alpha-16
UniProtKB:P05014	IFNA4	Interferon alpha-4
UniProtKB:P05013	IFNA6	Interferon alpha-6
UniProtKB:Q96LB2	MRGPRX1	Mas-related G-protein coupled receptor member X1
UniProtKB:P05000	IFNW1	Interferon omega-1
UniProtKB:Q12983	BNIP3	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
UniProtKB:P40429	RPL13A	Large ribosomal subunit protein uL13
UniProtKB:P15291	B4GALT1	Beta-1,4-galactosyltransferase 1
UniProtKB:P54802	NAGLU	Alpha-N-acetylglucosaminidase
UniProtKB:Q1L6U9	MSMP	Prostate-associated microseminoprotein
UniProtKB:Q9NR48	ASH1L	Histone-lysine N-methyltransferase ASH1L
UniProtKB:P15260	IFNGR1	Interferon gamma receptor 1
UniProtKB:Q9NQT4	EXOSC5	Exosome complex component RRP46
UniProtKB:P19474	TRIM21	E3 ubiquitin-protein ligase TRIM21
UniProtKB:P15248	IL9	Interleukin-9
UniProtKB:P62068	USP46	Ubiquitin carboxyl-terminal hydrolase 46
UniProtKB:P45984	MAPK9	Mitogen-activated protein kinase 9
UniProtKB:A6NNY8	USP27X	Ubiquitin carboxyl-terminal hydrolase 27
UniProtKB:Q9NRD8	DUOX2	Dual oxidase 2
UniProtKB:Q9NRD9	DUOX1	Dual oxidase 1
UniProtKB:O60844	ZG16	Zymogen granule membrane protein 16
UniProtKB:Q29983	MICA	MHC class I polypeptide-related sequence A
UniProtKB:Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12
UniProtKB:Q14149	MORC3	MORC family CW-type zinc finger protein 3
UniProtKB:Q6ZMZ0	RNF19B	E3 ubiquitin-protein ligase RNF19B
UniProtKB:O15205	UBD	Ubiquitin D
UniProtKB:Q14134	TRIM29	Tripartite motif-containing protein 29
UniProtKB:Q6L8Q7	PDE12	2',5'-phosphodiesterase 12
UniProtKB:Q00613	HSF1	Heat shock factor protein 1
UniProtKB:Q9BYH8	NFKBIZ	NF-kappa-B inhibitor zeta
UniProtKB:Q00604	NDP	Norrin
UniProtKB:Q07325	CXCL9	C-X-C motif chemokine 9
UniProtKB:Q8N4X5	AFAP1L2	Actin filament-associated protein 1-like 2
UniProtKB:Q86XR7	TICAM2	TIR domain-containing adapter molecule 2
UniProtKB:P13010	XRCC5	X-ray repair cross-complementing protein 5
UniProtKB:O95711	LY86	Lymphocyte antigen 86
UniProtKB:P01619	IGKV3-20	Immunoglobulin kappa variable 3-20
UniProtKB:P08311	CTSG	Cathepsin G
UniProtKB:Q3KP66	INAVA	Innate immunity activator protein
UniProtKB:Q5KU26	COLEC12	Collectin-12
UniProtKB:P16109	SELP	P-selectin
UniProtKB:P23246	SFPQ	Splicing factor, proline- and glutamine-rich
UniProtKB:P18564	ITGB6	Integrin beta-6
UniProtKB:Q96A25	TMEM106A	Transmembrane protein 106A
UniProtKB:P18510	IL1RN	Interleukin-1 receptor antagonist protein
UniProtKB:P01591	JCHAIN	Immunoglobulin J chain
UniProtKB:Q9BZM4	ULBP3	UL16-binding protein 3
UniProtKB:P01589	IL2RA	Interleukin-2 receptor subunit alpha
UniProtKB:P01588	EPO	Erythropoietin
UniProtKB:P01584	IL1B	Interleukin-1 beta
UniProtKB:P01583	IL1A	Interleukin-1 alpha
UniProtKB:Q09472	EP300	Histone acetyltransferase p300
UniProtKB:Q14119	VEZF1	Vascular endothelial zinc finger 1
UniProtKB:Q14116	IL18	Interleukin-18
UniProtKB:P40305	IFI27	Interferon alpha-inducible protein 27, mitochondrial
UniProtKB:Q12986	NFX1	Transcriptional repressor NF-X1
UniProtKB:Q12968	NFATC3	Nuclear factor of activated T-cells, cytoplasmic 3
UniProtKB:Q12933	TRAF2	TNF receptor-associated factor 2
UniProtKB:Q12906	ILF3	Interleukin enhancer-binding factor 3
