RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
UniProtKB:Q9H8X9	ZDHHC11	Palmitoyltransferase ZDHHC11
UniProtKB:P24158	PRTN3	Myeloblastin
UniProtKB:P19484	TFEB	Transcription factor EB
UniProtKB:P98173	FAM3A	Protein FAM3A
UniProtKB:P98170	XIAP	E3 ubiquitin-protein ligase XIAP
UniProtKB:Q96A61	TRIM52	E3 ubiquitin-protein ligase TRIM52
UniProtKB:P98160	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein
UniProtKB:P12724	RNASE3	Eosinophil cationic protein
UniProtKB:P19438	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A
UniProtKB:Q9UJV3	MID2	Probable E3 ubiquitin-protein ligase MID2
UniProtKB:Q9UQR1	ZNF148	Zinc finger protein 148
UniProtKB:Q9UQM7	CAMK2A	Calcium/calmodulin-dependent protein kinase type II subunit alpha
UniProtKB:P81172	HAMP	Hepcidin
UniProtKB:Q9NR96	TLR9	Toll-like receptor 9
UniProtKB:Q5T197	DCST1	E3 ubiquitin-protein ligase DCST1
UniProtKB:O60506	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q
UniProtKB:P60953	CDC42	Cell division control protein 42 homolog
UniProtKB:Q9BQF6	SENP7	Sentrin-specific protease 7
UniProtKB:Q9BQE5	APOL2	Apolipoprotein L2
UniProtKB:Q6PDA7	SPAG11A	Sperm-associated antigen 11A
UniProtKB:O95236	APOL3	Apolipoprotein L3
UniProtKB:Q9BQA9	CYBC1	Cytochrome b-245 chaperone 1
UniProtKB:P07996	THBS1	Thrombospondin-1
UniProtKB:Q9NSU2	TREX1	Three-prime repair exonuclease 1
UniProtKB:P12643	BMP2	Bone morphogenetic protein 2
UniProtKB:P98066	TNFAIP6	Tumor necrosis factor-inducible gene 6 protein
UniProtKB:P19367	HK1	Hexokinase-1
UniProtKB:P24001	IL32	Interleukin-32
UniProtKB:P07948	LYN	Tyrosine-protein kinase Lyn
UniProtKB:P07947	YES1	Tyrosine-protein kinase Yes
UniProtKB:Q01344	IL5RA	Interleukin-5 receptor subunit alpha
UniProtKB:P19320	VCAM1	Vascular cell adhesion protein 1
UniProtKB:Q9UPQ4	TRIM35	E3 ubiquitin-protein ligase TRIM35
UniProtKB:Q9BPX6	MICU1	Calcium uptake protein 1, mitochondrial
UniProtKB:P07911	UMOD	Uromodulin
UniProtKB:P22897	MRC1	Macrophage mannose receptor 1
UniProtKB:P02778	CXCL10	C-X-C motif chemokine 10
UniProtKB:P02775	PPBP	Platelet basic protein
UniProtKB:P29965	CD40LG	CD40 ligand
UniProtKB:P02763	ORM1	Alpha-1-acid glycoprotein 1
UniProtKB:O60858	TRIM13	E3 ubiquitin-protein ligase TRIM13
UniProtKB:P02751	FN1	Fibronectin
UniProtKB:P02748	C9	Complement component C9
UniProtKB:P02746	C1QB	Complement C1q subcomponent subunit B
UniProtKB:P02745	C1QA	Complement C1q subcomponent subunit A
UniProtKB:P02743	APCS	Serum amyloid P-component
UniProtKB:P02741	CRP	C-reactive protein
UniProtKB:Q49SQ1	GPR33	Probable G-protein coupled receptor 33
UniProtKB:O60828	PQBP1	Polyglutamine-binding protein 1
UniProtKB:Q76LX8	ADAMTS13	A disintegrin and metalloproteinase with thrombospondin motifs 13
UniProtKB:O60814	H2BC12	Histone H2B type 1-K
UniProtKB:Q02383	SEMG2	Semenogelin-2
UniProtKB:P09429	HMGB1	High mobility group protein B1
UniProtKB:Q96QP1	ALPK1	Alpha-protein kinase 1
UniProtKB:P24394	IL4R	Interleukin-4 receptor subunit alpha
UniProtKB:P24387	CRHBP	Corticotropin-releasing factor-binding protein
UniProtKB:O15162	PLSCR1	Phospholipid scramblase 1
UniProtKB:Q4QY38	DEFB134	Beta-defensin 134
UniProtKB:P12956	XRCC6	X-ray repair cross-complementing protein 6
UniProtKB:Q9NVU0	POLR3E	DNA-directed RNA polymerase III subunit RPC5
UniProtKB:O15111	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha
UniProtKB:P12931	SRC	Proto-oncogene tyrosine-protein kinase Src
UniProtKB:Q9NQ25	SLAMF7	SLAM family member 7
UniProtKB:P19652	ORM2	Alpha-1-acid glycoprotein 2
UniProtKB:Q13049	TRIM32	E3 ubiquitin-protein ligase TRIM32
UniProtKB:Q08380	LGALS3BP	Galectin-3-binding protein
UniProtKB:Q9NW08	POLR3B	DNA-directed RNA polymerase III subunit RPC2
UniProtKB:Q01638	IL1RL1	Interleukin-1 receptor-like 1
UniProtKB:Q01629	IFITM2	Interferon-induced transmembrane protein 2
UniProtKB:Q01628	IFITM3	Interferon-induced transmembrane protein 3
UniProtKB:Q13002	GRIK2	Glutamate receptor ionotropic, kainate 2
UniProtKB:Q96QA5	GSDMA	Gasdermin-A
UniProtKB:Q9UN86	G3BP2	Ras GTPase-activating protein-binding protein 2
UniProtKB:Q08334	IL10RB	Interleukin-10 receptor subunit beta
UniProtKB:Q13309	SKP2	S-phase kinase-associated protein 2
UniProtKB:Q08648	SPAG11B	Sperm-associated antigen 11B
UniProtKB:Q9NYK1	TLR7	Toll-like receptor 7
UniProtKB:P14373	TRIM27	Zinc finger protein RFP
UniProtKB:P34810	CD68	Macrosialin
UniProtKB:P61165	TMEM258	Transmembrane protein 258
UniProtKB:P61160	ACTR2	Actin-related protein 2
UniProtKB:Q9NYA1	SPHK1	Sphingosine kinase 1
UniProtKB:P61158	ACTR3	Actin-related protein 3
UniProtKB:Q96ST3	SIN3A	Paired amphipathic helix protein Sin3a
UniProtKB:P81605	DCD	Dermcidin
UniProtKB:Q70J99	UNC13D	Protein unc-13 homolog D
UniProtKB:P25089	FPR3	N-formyl peptide receptor 3
UniProtKB:Q68D85	NCR3LG1	Natural cytotoxicity triggering receptor 3 ligand 1
UniProtKB:P09603	CSF1	Macrophage colony-stimulating factor 1
UniProtKB:P09601	HMOX1	Heme oxygenase 1
UniProtKB:P61106	RAB14	Ras-related protein Rab-14
UniProtKB:Q9NY93	DDX56	Probable ATP-dependent RNA helicase DDX56
UniProtKB:O15347	HMGB3	High mobility group protein B3
UniProtKB:Q96SJ8	TSPAN18	Tetraspanin-18
UniProtKB:Q13287	NMI	N-myc-interactor
UniProtKB:Q13283	G3BP1	Ras GTPase-activating protein-binding protein 1
UniProtKB:P19876	CXCL3	C-X-C motif chemokine 3
UniProtKB:P19875	CXCL2	C-X-C motif chemokine 2
UniProtKB:Q68D06	SLFN13	Schlafen family member 13
UniProtKB:Q13263	TRIM28	Transcription intermediary factor 1-beta
UniProtKB:Q9C037	TRIM4	E3 ubiquitin-protein ligase TRIM4
UniProtKB:P0DP23	CALM1	Calmodulin-1
UniProtKB:Q9UNI1	CELA1	Chymotrypsin-like elastase family member 1
UniProtKB:O60262	GNG7	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7
UniProtKB:P29353	SHC1	SHC-transforming protein 1
UniProtKB:P29350	PTPN6	Tyrosine-protein phosphatase non-receptor type 6
UniProtKB:Q9NQC7	CYLD	Ubiquitin carboxyl-terminal hydrolase CYLD
UniProtKB:P17947	SPI1	Transcription factor PU.1
UniProtKB:O60238	BNIP3L	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
UniProtKB:O60231	DHX16	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16
UniProtKB:P17931	LGALS3	Galectin-3
