deg	cis_driven	Class	Tissue	Trait	gene
DCAF15	0	Not_cis-driven	Ovary	Age	DCAF15
ASF1B	0	Not_cis-driven	Ovary	Age	ASF1B
NOTCH3	0	Not_cis-driven	Ovary	Age	NOTCH3
TMEM38A	0	Not_cis-driven	Ovary	Age	TMEM38A
CPAMD8	0	Not_cis-driven	Ovary	Age	CPAMD8
ARRDC2	0	Not_cis-driven	Ovary	Age	ARRDC2
MAST3	0	Not_cis-driven	Ovary	Age	MAST3
PDE4C	0	Not_cis-driven	Ovary	Age	PDE4C
ZNF101	0	Not_cis-driven	Ovary	Age	ZNF101
ZNF14	0	Not_cis-driven	Ovary	Age	ZNF14
PEPD	0	Not_cis-driven	Ovary	Age	PEPD
KCTD15	0	Not_cis-driven	Ovary	Age	KCTD15
LSM14A	0	Not_cis-driven	Ovary	Age	LSM14A
KIAA0355	0	Not_cis-driven	Ovary	Age	KIAA0355
SCN1B	0	Not_cis-driven	Ovary	Age	SCN1B
DMKN	0	Not_cis-driven	Ovary	Age	DMKN
PSENEN	1	Cis-driven	Ovary	Age	PSENEN
HKR1	0	Not_cis-driven	Ovary	Age	HKR1
SPINT2	1	Cis-driven	Ovary	Age	SPINT2
GMFG	0	Not_cis-driven	Ovary	Age	GMFG
PLEKHG2	0	Not_cis-driven	Ovary	Age	PLEKHG2
EID2B	0	Not_cis-driven	Ovary	Age	EID2B
PLD3	0	Not_cis-driven	Ovary	Age	PLD3
SPTBN4	0	Not_cis-driven	Ovary	Age	SPTBN4
HNRNPUL1	0	Not_cis-driven	Ovary	Age	HNRNPUL1
PVR	0	Not_cis-driven	Ovary	Age	PVR
FBXO46	0	Not_cis-driven	Ovary	Age	FBXO46
NOVA2	0	Not_cis-driven	Ovary	Age	NOVA2
HIF3A	0	Not_cis-driven	Ovary	Age	HIF3A
DACT3	0	Not_cis-driven	Ovary	Age	DACT3
LIG1	1	Cis-driven	Ovary	Age	LIG1
PPFIA3	0	Not_cis-driven	Ovary	Age	PPFIA3
TSKS	0	Not_cis-driven	Ovary	Age	TSKS
PTOV1	0	Not_cis-driven	Ovary	Age	PTOV1
PPP2R1A	0	Not_cis-driven	Ovary	Age	PPP2R1A
ZNF331	0	Not_cis-driven	Ovary	Age	ZNF331
TTYH1	0	Not_cis-driven	Ovary	Age	TTYH1
ZNF549	0	Not_cis-driven	Ovary	Age	ZNF549
ZNF416	0	Not_cis-driven	Ovary	Age	ZNF416
ZNF530	1	Cis-driven	Ovary	Age	ZNF530
ZNF417	0	Not_cis-driven	Ovary	Age	ZNF417
ZCCHC3	0	Not_cis-driven	Ovary	Age	ZCCHC3
FAM110A	0	Not_cis-driven	Ovary	Age	FAM110A
FKBP1A	0	Not_cis-driven	Ovary	Age	FKBP1A
SIRPA	0	Not_cis-driven	Ovary	Age	SIRPA
ZNF343	0	Not_cis-driven	Ovary	Age	ZNF343
CDC25B	0	Not_cis-driven	Ovary	Age	CDC25B
ADRA1D	0	Not_cis-driven	Ovary	Age	ADRA1D
PLCB1	0	Not_cis-driven	Ovary	Age	PLCB1
PLCB4	0	Not_cis-driven	Ovary	Age	PLCB4
ANKEF1	0	Not_cis-driven	Ovary	Age	ANKEF1
SPTLC3	0	Not_cis-driven	Ovary	Age	SPTLC3
SLC24A3	1	Cis-driven	Ovary	Age	SLC24A3
RALGAPA2	0	Not_cis-driven	Ovary	Age	RALGAPA2
CCM2L	0	Not_cis-driven	Ovary	Age	CCM2L
NOL4L	0	Not_cis-driven	Ovary	Age	NOL4L
ACSS2	0	Not_cis-driven	Ovary	Age	ACSS2
DSN1	0	Not_cis-driven	Ovary	Age	DSN1
TGM2	0	Not_cis-driven	Ovary	Age	TGM2
EMILIN3	0	Not_cis-driven	Ovary	Age	EMILIN3
SNX21	0	Not_cis-driven	Ovary	Age	SNX21
CDH22	0	Not_cis-driven	Ovary	Age	CDH22
SLC13A3	0	Not_cis-driven	Ovary	Age	SLC13A3
ZMYND8	0	Not_cis-driven	Ovary	Age	ZMYND8
PREX1	0	Not_cis-driven	Ovary	Age	PREX1
ZNFX1	0	Not_cis-driven	Ovary	Age	ZNFX1
SNAI1	0	Not_cis-driven	Ovary	Age	SNAI1
CEBPB	0	Not_cis-driven	Ovary	Age	CEBPB
ZNF217	0	Not_cis-driven	Ovary	Age	ZNF217
DOK5	0	Not_cis-driven	Ovary	Age	DOK5
PMEPA1	0	Not_cis-driven	Ovary	Age	PMEPA1
PHACTR3	0	Not_cis-driven	Ovary	Age	PHACTR3
SS18L1	0	Not_cis-driven	Ovary	Age	SS18L1
LAMA5	0	Not_cis-driven	Ovary	Age	LAMA5
DIDO1	0	Not_cis-driven	Ovary	Age	DIDO1
HELZ2	0	Not_cis-driven	Ovary	Age	HELZ2
APP	0	Not_cis-driven	Ovary	Age	APP
CYYR1	0	Not_cis-driven	Ovary	Age	CYYR1
CLIC6	0	Not_cis-driven	Ovary	Age	CLIC6
DSCR3	0	Not_cis-driven	Ovary	Age	DSCR3
ERG	0	Not_cis-driven	Ovary	Age	ERG
TFF3	0	Not_cis-driven	Ovary	Age	TFF3
PDE9A	0	Not_cis-driven	Ovary	Age	PDE9A
PTTG1IP	0	Not_cis-driven	Ovary	Age	PTTG1IP
BID	1	Cis-driven	Ovary	Age	BID
RSPH14	0	Not_cis-driven	Ovary	Age	RSPH14
AP1B1	0	Not_cis-driven	Ovary	Age	AP1B1
MTMR3	0	Not_cis-driven	Ovary	Age	MTMR3
SEC14L6	0	Not_cis-driven	Ovary	Age	SEC14L6
SMTN	0	Not_cis-driven	Ovary	Age	SMTN
PATZ1	2	Cis-driven	Ovary	Age	PATZ1
EIF4ENIF1	0	Not_cis-driven	Ovary	Age	EIF4ENIF1
MYH9	0	Not_cis-driven	Ovary	Age	MYH9
CARD10	0	Not_cis-driven	Ovary	Age	CARD10
ANKRD54	0	Not_cis-driven	Ovary	Age	ANKRD54
POLR2F	0	Not_cis-driven	Ovary	Age	POLR2F
JOSD1	0	Not_cis-driven	Ovary	Age	JOSD1
NPTXR	1	Cis-driven	Ovary	Age	NPTXR
PDGFB	0	Not_cis-driven	Ovary	Age	PDGFB
CHADL	0	Not_cis-driven	Ovary	Age	CHADL
PARVB	0	Not_cis-driven	Ovary	Age	PARVB
FBLN1	0	Not_cis-driven	Ovary	Age	FBLN1
BRD1	1	Cis-driven	Ovary	Age	BRD1
CRELD2	0	Not_cis-driven	Ovary	Age	CRELD2
SHANK3	0	Not_cis-driven	Ovary	Age	SHANK3
ANKRD65	2	Cis-driven	Ovary	Ancestry	ANKRD65
SLC1A7	1	Cis-driven	Ovary	Ancestry	SLC1A7
NEGR1	0	Not_cis-driven	Ovary	Ancestry	NEGR1
PM20D1	1	Cis-driven	Ovary	Ancestry	PM20D1
BOK	1	Cis-driven	Ovary	Ancestry	BOK
D2HGDH	4	Cis-driven	Ovary	Ancestry	D2HGDH
CNTN4	2	Cis-driven	Ovary	Ancestry	CNTN4
IL17RD	1	Cis-driven	Ovary	Ancestry	IL17RD
NAALADL2	0	Not_cis-driven	Ovary	Ancestry	NAALADL2
LIMCH1	0	Not_cis-driven	Ovary	Ancestry	LIMCH1
ADGRL3	0	Not_cis-driven	Ovary	Ancestry	ADGRL3
ADAMTS3	0	Not_cis-driven	Ovary	Ancestry	ADAMTS3
CCDC127	3	Cis-driven	Ovary	Ancestry	CCDC127
SEMA5A	0	Not_cis-driven	Ovary	Ancestry	SEMA5A
C6orf52	1	Cis-driven	Ovary	Ancestry	C6orf52
WDR27	1	Cis-driven	Ovary	Ancestry	WDR27
COL28A1	1	Cis-driven	Ovary	Ancestry	COL28A1
FAM66B	1	Cis-driven	Ovary	Ancestry	FAM66B
TOP1MT	3	Cis-driven	Ovary	Ancestry	TOP1MT
PIP5KL1	0	Not_cis-driven	Ovary	Ancestry	PIP5KL1
NOTCH1	0	Not_cis-driven	Ovary	Ancestry	NOTCH1
CAMK1D	3	Cis-driven	Ovary	Ancestry	CAMK1D
CFAP70	0	Not_cis-driven	Ovary	Ancestry	CFAP70
GSTO2	3	Cis-driven	Ovary	Ancestry	GSTO2
NRXN2	1	Cis-driven	Ovary	Ancestry	NRXN2
RHOD	1	Cis-driven	Ovary	Ancestry	RHOD
DLG2	0	Not_cis-driven	Ovary	Ancestry	DLG2
TRPC6	0	Not_cis-driven	Ovary	Ancestry	TRPC6
PRH1	1	Cis-driven	Ovary	Ancestry	PRH1
DHRS4	2	Cis-driven	Ovary	Ancestry	DHRS4
KIF26A	1	Cis-driven	Ovary	Ancestry	KIF26A
ADAL	1	Cis-driven	Ovary	Ancestry	ADAL
CATSPER2	1	Cis-driven	Ovary	Ancestry	CATSPER2
SORD	4	Cis-driven	Ovary	Ancestry	SORD
C15orf65	0	Not_cis-driven	Ovary	Ancestry	C15orf65
TLN2	0	Not_cis-driven	Ovary	Ancestry	TLN2
SLC24A1	2	Cis-driven	Ovary	Ancestry	SLC24A1
STX1B	7	Cis-driven	Ovary	Ancestry	STX1B
RNF112	0	Not_cis-driven	Ovary	Ancestry	RNF112
ARL17A	1	Cis-driven	Ovary	Ancestry	ARL17A
PRAM1	1	Cis-driven	Ovary	Ancestry	PRAM1
LINC00664	1	Cis-driven	Ovary	Ancestry	LINC00664
LINC00665	2	Cis-driven	Ovary	Ancestry	LINC00665
PCAT19	1	Cis-driven	Ovary	Ancestry	PCAT19
CDC25B	1	Cis-driven	Ovary	Ancestry	CDC25B
TSHZ2	1	Cis-driven	Ovary	Ancestry	TSHZ2
C21orf33	1	Cis-driven	Ovary	Ancestry	C21orf33
NA	NA	NA	Ovary	Sex	
RMDN2	0	Not_cis-driven	Prostate	Age	RMDN2
SRBD1	0	Not_cis-driven	Prostate	Age	SRBD1
AGAP1	2	Cis-driven	Prostate	Age	AGAP1
ACKR3	0	Not_cis-driven	Prostate	Age	ACKR3
SEMA3B	1	Cis-driven	Prostate	Age	SEMA3B
RAD54L2	0	Not_cis-driven	Prostate	Age	RAD54L2
FHIT	0	Not_cis-driven	Prostate	Age	FHIT
CADM2	0	Not_cis-driven	Prostate	Age	CADM2
ABI3BP	0	Not_cis-driven	Prostate	Age	ABI3BP
DGKG	0	Not_cis-driven	Prostate	Age	DGKG
SPATA18	0	Not_cis-driven	Prostate	Age	SPATA18
ARHGAP24	1	Cis-driven	Prostate	Age	ARHGAP24
IL7R	1	Cis-driven	Prostate	Age	IL7R
FYB	0	Not_cis-driven	Prostate	Age	FYB
PARP8	1	Cis-driven	Prostate	Age	PARP8
CCNI2	0	Not_cis-driven	Prostate	Age	CCNI2
FGD2	0	Not_cis-driven	Prostate	Age	FGD2
ADGRF5	0	Not_cis-driven	Prostate	Age	ADGRF5
SYNE1	0	Not_cis-driven	Prostate	Age	SYNE1
SDK1	0	Not_cis-driven	Prostate	Age	SDK1
RAPGEF5	1	Cis-driven	Prostate	Age	RAPGEF5
ADAM22	0	Not_cis-driven	Prostate	Age	ADAM22
CHD7	0	Not_cis-driven	Prostate	Age	CHD7
CDKN2A	0	Not_cis-driven	Prostate	Age	CDKN2A
DAB2IP	3	Cis-driven	Prostate	Age	DAB2IP
RXRA	0	Not_cis-driven	Prostate	Age	RXRA
PLXDC2	0	Not_cis-driven	Prostate	Age	PLXDC2
ALOX5	0	Not_cis-driven	Prostate	Age	ALOX5
FAS	0	Not_cis-driven	Prostate	Age	FAS
BAG3	1	Cis-driven	Prostate	Age	BAG3
PRSS23	0	Not_cis-driven	Prostate	Age	PRSS23
SIK3	1	Cis-driven	Prostate	Age	SIK3
PIANP	0	Not_cis-driven	Prostate	Age	PIANP
LRP1	2	Cis-driven	Prostate	Age	LRP1
PXN	1	Cis-driven	Prostate	Age	PXN
IGF1R	1	Cis-driven	Prostate	Age	IGF1R
CMIP	2	Cis-driven	Prostate	Age	CMIP
CHRNE	1	Cis-driven	Prostate	Age	CHRNE
RAB37	0	Not_cis-driven	Prostate	Age	RAB37
FDXR	0	Not_cis-driven	Prostate	Age	FDXR
SETBP1	0	Not_cis-driven	Prostate	Age	SETBP1
PODNL1	0	Not_cis-driven	Prostate	Age	PODNL1
ZNF154	0	Not_cis-driven	Prostate	Age	ZNF154
PCSK2	0	Not_cis-driven	Prostate	Age	PCSK2
SLCO4A1	0	Not_cis-driven	Prostate	Age	SLCO4A1
BCR	1	Cis-driven	Prostate	Age	BCR
FAM66B	0	Not_cis-driven	Prostate	Ancestry	FAM66B
ERC1	1	Cis-driven	Prostate	Ancestry	ERC1
LINC00377	0	Not_cis-driven	Prostate	Ancestry	LINC00377
CARS2	0	Not_cis-driven	Prostate	Ancestry	CARS2
SORD	0	Not_cis-driven	Prostate	Ancestry	SORD
C17orf97	1	Cis-driven	Prostate	Ancestry	C17orf97
SIK1	0	Not_cis-driven	Prostate	Ancestry	SIK1
NA	NA	NA	Prostate	Sex	
ATAD3A	1	Cis-driven	BreastMammaryTissue	Ancestry	ATAD3A
SLC39A4	1	Cis-driven	BreastMammaryTissue	Ancestry	SLC39A4
C14orf79	1	Cis-driven	BreastMammaryTissue	Ancestry	C14orf79
DHX58	2	Cis-driven	BreastMammaryTissue	Ancestry	DHX58
C1orf127	2	Cis-driven	MuscleSkeletal	Ancestry	C1orf127
NKAIN1	0	Not_cis-driven	MuscleSkeletal	Ancestry	NKAIN1
PODN	0	Not_cis-driven	MuscleSkeletal	Ancestry	PODN
LRRC8D	0	Not_cis-driven	MuscleSkeletal	Ancestry	LRRC8D
PPFIA4	0	Not_cis-driven	MuscleSkeletal	Ancestry	PPFIA4
AIDA	1	Cis-driven	MuscleSkeletal	Ancestry	AIDA
MCFD2	0	Not_cis-driven	MuscleSkeletal	Ancestry	MCFD2
TMEM37	0	Not_cis-driven	MuscleSkeletal	Ancestry	TMEM37
PDK1	1	Cis-driven	MuscleSkeletal	Ancestry	PDK1
HIBCH	0	Not_cis-driven	MuscleSkeletal	Ancestry	HIBCH
ARHGEF3	0	Not_cis-driven	MuscleSkeletal	Ancestry	ARHGEF3
TNIK	0	Not_cis-driven	MuscleSkeletal	Ancestry	TNIK
CRMP1	1	Cis-driven	MuscleSkeletal	Ancestry	CRMP1
ZNF827	1	Cis-driven	MuscleSkeletal	Ancestry	ZNF827
SERPINB6	1	Cis-driven	MuscleSkeletal	Ancestry	SERPINB6
ZSCAN31	1	Cis-driven	MuscleSkeletal	Ancestry	ZSCAN31
ZNRD1	2	Cis-driven	MuscleSkeletal	Ancestry	ZNRD1
SUPT3H	0	Not_cis-driven	MuscleSkeletal	Ancestry	SUPT3H
MPC1	1	Cis-driven	MuscleSkeletal	Ancestry	MPC1
RADIL	0	Not_cis-driven	MuscleSkeletal	Ancestry	RADIL
ARPC1B	1	Cis-driven	MuscleSkeletal	Ancestry	ARPC1B
ORC5	0	Not_cis-driven	MuscleSkeletal	Ancestry	ORC5
VIPR2	0	Not_cis-driven	MuscleSkeletal	Ancestry	VIPR2
CPQ	1	Cis-driven	MuscleSkeletal	Ancestry	CPQ
SLC39A4	1	Cis-driven	MuscleSkeletal	Ancestry	SLC39A4
AIF1L	0	Not_cis-driven	MuscleSkeletal	Ancestry	AIF1L
MLLT10	0	Not_cis-driven	MuscleSkeletal	Ancestry	MLLT10
MINPP1	1	Cis-driven	MuscleSkeletal	Ancestry	MINPP1
TUBGCP2	0	Not_cis-driven	MuscleSkeletal	Ancestry	TUBGCP2
TMEM216	0	Not_cis-driven	MuscleSkeletal	Ancestry	TMEM216
SPSB2	0	Not_cis-driven	MuscleSkeletal	Ancestry	SPSB2
TMEM116	1	Cis-driven	MuscleSkeletal	Ancestry	TMEM116
SPPL3	0	Not_cis-driven	MuscleSkeletal	Ancestry	SPPL3
GLT1D1	0	Not_cis-driven	MuscleSkeletal	Ancestry	GLT1D1
CUL4A	2	Cis-driven	MuscleSkeletal	Ancestry	CUL4A
DHRS4	3	Cis-driven	MuscleSkeletal	Ancestry	DHRS4
IFI27	0	Not_cis-driven	MuscleSkeletal	Ancestry	IFI27
CELF6	0	Not_cis-driven	MuscleSkeletal	Ancestry	CELF6
LMF1	4	Cis-driven	MuscleSkeletal	Ancestry	LMF1
WWOX	1	Cis-driven	MuscleSkeletal	Ancestry	WWOX
ATMIN	0	Not_cis-driven	MuscleSkeletal	Ancestry	ATMIN
CWC25	0	Not_cis-driven	MuscleSkeletal	Ancestry	CWC25
TMC6	0	Not_cis-driven	MuscleSkeletal	Ancestry	TMC6
RPTOR	0	Not_cis-driven	MuscleSkeletal	Ancestry	RPTOR
LINC00482	0	Not_cis-driven	MuscleSkeletal	Ancestry	LINC00482
DDX39A	0	Not_cis-driven	MuscleSkeletal	Ancestry	DDX39A
PEX10	0	Not_cis-driven	MuscleSkeletal	Sex	PEX10
NPHP4	0	Not_cis-driven	MuscleSkeletal	Sex	NPHP4
RERE	0	Not_cis-driven	MuscleSkeletal	Sex	RERE
TNFRSF1B	0	Not_cis-driven	MuscleSkeletal	Sex	TNFRSF1B
ECE1	0	Not_cis-driven	MuscleSkeletal	Sex	ECE1
HMGN2	0	Not_cis-driven	MuscleSkeletal	Sex	HMGN2
NFYC	0	Not_cis-driven	MuscleSkeletal	Sex	NFYC
MOB3C	0	Not_cis-driven	MuscleSkeletal	Sex	MOB3C
OSBPL9	0	Not_cis-driven	MuscleSkeletal	Sex	OSBPL9
DOCK7	0	Not_cis-driven	MuscleSkeletal	Sex	DOCK7
IL12RB2	0	Not_cis-driven	MuscleSkeletal	Sex	IL12RB2
TGFBR3	0	Not_cis-driven	MuscleSkeletal	Sex	TGFBR3
MTF2	0	Not_cis-driven	MuscleSkeletal	Sex	MTF2
SELENBP1	0	Not_cis-driven	MuscleSkeletal	Sex	SELENBP1
EFNA1	0	Not_cis-driven	MuscleSkeletal	Sex	EFNA1
PBX1	0	Not_cis-driven	MuscleSkeletal	Sex	PBX1
RXRG	0	Not_cis-driven	MuscleSkeletal	Sex	RXRG
SHISA4	0	Not_cis-driven	MuscleSkeletal	Sex	SHISA4
CDK18	0	Not_cis-driven	MuscleSkeletal	Sex	CDK18
RASSF5	0	Not_cis-driven	MuscleSkeletal	Sex	RASSF5
ROCK2	0	Not_cis-driven	MuscleSkeletal	Sex	ROCK2
GREB1	0	Not_cis-driven	MuscleSkeletal	Sex	GREB1
LPIN1	0	Not_cis-driven	MuscleSkeletal	Sex	LPIN1
DNMT3A	0	Not_cis-driven	MuscleSkeletal	Sex	DNMT3A
PLB1	0	Not_cis-driven	MuscleSkeletal	Sex	PLB1
ZFP36L2	0	Not_cis-driven	MuscleSkeletal	Sex	ZFP36L2
MPHOSPH10	0	Not_cis-driven	MuscleSkeletal	Sex	MPHOSPH10
TBC1D8	0	Not_cis-driven	MuscleSkeletal	Sex	TBC1D8
MAP4K4	0	Not_cis-driven	MuscleSkeletal	Sex	MAP4K4
MGAT5	0	Not_cis-driven	MuscleSkeletal	Sex	MGAT5
CERS6	0	Not_cis-driven	MuscleSkeletal	Sex	CERS6
CHN1	0	Not_cis-driven	MuscleSkeletal	Sex	CHN1
SPATS2L	0	Not_cis-driven	MuscleSkeletal	Sex	SPATS2L
EIF4E2	0	Not_cis-driven	MuscleSkeletal	Sex	EIF4E2
AGAP1	0	Not_cis-driven	MuscleSkeletal	Sex	AGAP1
SYN2	0	Not_cis-driven	MuscleSkeletal	Sex	SYN2
FYCO1	0	Not_cis-driven	MuscleSkeletal	Sex	FYCO1
USP4	0	Not_cis-driven	MuscleSkeletal	Sex	USP4
GPX1	0	Not_cis-driven	MuscleSkeletal	Sex	GPX1
CISH	0	Not_cis-driven	MuscleSkeletal	Sex	CISH
CACNA2D3	0	Not_cis-driven	MuscleSkeletal	Sex	CACNA2D3
FOXP1	0	Not_cis-driven	MuscleSkeletal	Sex	FOXP1
ST3GAL6	0	Not_cis-driven	MuscleSkeletal	Sex	ST3GAL6
KLF15	0	Not_cis-driven	MuscleSkeletal	Sex	KLF15
KBTBD12	0	Not_cis-driven	MuscleSkeletal	Sex	KBTBD12
NME9	0	Not_cis-driven	MuscleSkeletal	Sex	NME9
HLTF	0	Not_cis-driven	MuscleSkeletal	Sex	HLTF
MME	0	Not_cis-driven	MuscleSkeletal	Sex	MME
YEATS2	0	Not_cis-driven	MuscleSkeletal	Sex	YEATS2
LPP	0	Not_cis-driven	MuscleSkeletal	Sex	LPP
TPRG1	0	Not_cis-driven	MuscleSkeletal	Sex	TPRG1
GRK4	0	Not_cis-driven	MuscleSkeletal	Sex	GRK4
RGS12	0	Not_cis-driven	MuscleSkeletal	Sex	RGS12
KLF3	0	Not_cis-driven	MuscleSkeletal	Sex	KLF3
LIMCH1	0	Not_cis-driven	MuscleSkeletal	Sex	LIMCH1
EGF	0	Not_cis-driven	MuscleSkeletal	Sex	EGF
ALPK1	0	Not_cis-driven	MuscleSkeletal	Sex	ALPK1
MAML3	0	Not_cis-driven	MuscleSkeletal	Sex	MAML3
ARHGAP10	0	Not_cis-driven	MuscleSkeletal	Sex	ARHGAP10
RIOK2	0	Not_cis-driven	MuscleSkeletal	Sex	RIOK2
MEGF10	0	Not_cis-driven	MuscleSkeletal	Sex	MEGF10
LINC01184	0	Not_cis-driven	MuscleSkeletal	Sex	LINC01184
RAPGEF6	0	Not_cis-driven	MuscleSkeletal	Sex	RAPGEF6
ARHGAP26	0	Not_cis-driven	MuscleSkeletal	Sex	ARHGAP26
CCDC69	0	Not_cis-driven	MuscleSkeletal	Sex	CCDC69
TSPAN17	0	Not_cis-driven	MuscleSkeletal	Sex	TSPAN17
TBC1D9B	0	Not_cis-driven	MuscleSkeletal	Sex	TBC1D9B
C6orf136	0	Not_cis-driven	MuscleSkeletal	Sex	C6orf136
FLOT1	0	Not_cis-driven	MuscleSkeletal	Sex	FLOT1
C6orf106	0	Not_cis-driven	MuscleSkeletal	Sex	C6orf106
CLIC5	0	Not_cis-driven	MuscleSkeletal	Sex	CLIC5
DST	0	Not_cis-driven	MuscleSkeletal	Sex	DST
KCNQ5	0	Not_cis-driven	MuscleSkeletal	Sex	KCNQ5
MYO6	0	Not_cis-driven	MuscleSkeletal	Sex	MYO6
PDSS2	0	Not_cis-driven	MuscleSkeletal	Sex	PDSS2
FOXO3	0	Not_cis-driven	MuscleSkeletal	Sex	FOXO3
SESN1	0	Not_cis-driven	MuscleSkeletal	Sex	SESN1
FABP7	0	Not_cis-driven	MuscleSkeletal	Sex	FABP7
ESR1	0	Not_cis-driven	MuscleSkeletal	Sex	ESR1
SMOC2	0	Not_cis-driven	MuscleSkeletal	Sex	SMOC2
FAM20C	0	Not_cis-driven	MuscleSkeletal	Sex	FAM20C
AIMP2	0	Not_cis-driven	MuscleSkeletal	Sex	AIMP2
HOXA13	0	Not_cis-driven	MuscleSkeletal	Sex	HOXA13
JAZF1	0	Not_cis-driven	MuscleSkeletal	Sex	JAZF1
BBS9	0	Not_cis-driven	MuscleSkeletal	Sex	BBS9
VOPP1	0	Not_cis-driven	MuscleSkeletal	Sex	VOPP1
CLN8	0	Not_cis-driven	MuscleSkeletal	Sex	CLN8
PTK2B	0	Not_cis-driven	MuscleSkeletal	Sex	PTK2B
POLB	0	Not_cis-driven	MuscleSkeletal	Sex	POLB
WWP1	0	Not_cis-driven	MuscleSkeletal	Sex	WWP1
RNF19A	0	Not_cis-driven	MuscleSkeletal	Sex	RNF19A
TRPS1	0	Not_cis-driven	MuscleSkeletal	Sex	TRPS1
ALDH1A1	0	Not_cis-driven	MuscleSkeletal	Sex	ALDH1A1
GSN	0	Not_cis-driven	MuscleSkeletal	Sex	GSN
DAB2IP	0	Not_cis-driven	MuscleSkeletal	Sex	DAB2IP
MAPKAP1	0	Not_cis-driven	MuscleSkeletal	Sex	MAPKAP1
MVB12B	0	Not_cis-driven	MuscleSkeletal	Sex	MVB12B
AK1	0	Not_cis-driven	MuscleSkeletal	Sex	AK1
RALGDS	0	Not_cis-driven	MuscleSkeletal	Sex	RALGDS
SEC16A	0	Not_cis-driven	MuscleSkeletal	Sex	SEC16A
KLF6	0	Not_cis-driven	MuscleSkeletal	Sex	KLF6
BMI1	0	Not_cis-driven	MuscleSkeletal	Sex	BMI1
CCNY	0	Not_cis-driven	MuscleSkeletal	Sex	CCNY
CCDC6	0	Not_cis-driven	MuscleSkeletal	Sex	CCDC6
SH3PXD2A	0	Not_cis-driven	MuscleSkeletal	Sex	SH3PXD2A
ATRNL1	0	Not_cis-driven	MuscleSkeletal	Sex	ATRNL1
PDZD8	0	Not_cis-driven	MuscleSkeletal	Sex	PDZD8
CHST15	0	Not_cis-driven	MuscleSkeletal	Sex	CHST15
MICAL2	0	Not_cis-driven	MuscleSkeletal	Sex	MICAL2
CD82	0	Not_cis-driven	MuscleSkeletal	Sex	CD82
AMBRA1	0	Not_cis-driven	MuscleSkeletal	Sex	AMBRA1
PC	0	Not_cis-driven	MuscleSkeletal	Sex	PC
SIK3	0	Not_cis-driven	MuscleSkeletal	Sex	SIK3
TBCEL	0	Not_cis-driven	MuscleSkeletal	Sex	TBCEL
UBASH3B	0	Not_cis-driven	MuscleSkeletal	Sex	UBASH3B
TSPAN9	0	Not_cis-driven	MuscleSkeletal	Sex	TSPAN9
LTBR	0	Not_cis-driven	MuscleSkeletal	Sex	LTBR
YAF2	0	Not_cis-driven	MuscleSkeletal	Sex	YAF2
PPM1H	0	Not_cis-driven	MuscleSkeletal	Sex	PPM1H
TMPO	0	Not_cis-driven	MuscleSkeletal	Sex	TMPO
C12orf75	0	Not_cis-driven	MuscleSkeletal	Sex	C12orf75
NUAK1	0	Not_cis-driven	MuscleSkeletal	Sex	NUAK1
TPCN1	0	Not_cis-driven	MuscleSkeletal	Sex	TPCN1
VPS37B	0	Not_cis-driven	MuscleSkeletal	Sex	VPS37B
NCOR2	0	Not_cis-driven	MuscleSkeletal	Sex	NCOR2
MEDAG	0	Not_cis-driven	MuscleSkeletal	Sex	MEDAG
FOXO1	0	Not_cis-driven	MuscleSkeletal	Sex	FOXO1
ATP11A	0	Not_cis-driven	MuscleSkeletal	Sex	ATP11A
TFDP1	0	Not_cis-driven	MuscleSkeletal	Sex	TFDP1
C14orf93	0	Not_cis-driven	MuscleSkeletal	Sex	C14orf93
FRMD6	0	Not_cis-driven	MuscleSkeletal	Sex	FRMD6
SAMD4A	0	Not_cis-driven	MuscleSkeletal	Sex	SAMD4A
RTN1	0	Not_cis-driven	MuscleSkeletal	Sex	RTN1
JDP2	0	Not_cis-driven	MuscleSkeletal	Sex	JDP2
FLVCR2	0	Not_cis-driven	MuscleSkeletal	Sex	FLVCR2
PPP2R5C	0	Not_cis-driven	MuscleSkeletal	Sex	PPP2R5C
SLC12A6	0	Not_cis-driven	MuscleSkeletal	Sex	SLC12A6
RTF1	0	Not_cis-driven	MuscleSkeletal	Sex	RTF1
LTK	0	Not_cis-driven	MuscleSkeletal	Sex	LTK
ITGA11	0	Not_cis-driven	MuscleSkeletal	Sex	ITGA11
PDE8A	0	Not_cis-driven	MuscleSkeletal	Sex	PDE8A
PCSK6	0	Not_cis-driven	MuscleSkeletal	Sex	PCSK6
XYLT1	0	Not_cis-driven	MuscleSkeletal	Sex	XYLT1
IRX3	0	Not_cis-driven	MuscleSkeletal	Sex	IRX3
C16orf70	0	Not_cis-driven	MuscleSkeletal	Sex	C16orf70
ZFHX3	0	Not_cis-driven	MuscleSkeletal	Sex	ZFHX3
ZNRF1	0	Not_cis-driven	MuscleSkeletal	Sex	ZNRF1
BANP	0	Not_cis-driven	MuscleSkeletal	Sex	BANP
NXN	0	Not_cis-driven	MuscleSkeletal	Sex	NXN
ABR	0	Not_cis-driven	MuscleSkeletal	Sex	ABR
SLC43A2	0	Not_cis-driven	MuscleSkeletal	Sex	SLC43A2
DLG4	0	Not_cis-driven	MuscleSkeletal	Sex	DLG4
TMEM11	0	Not_cis-driven	MuscleSkeletal	Sex	TMEM11
